depth	min	max	median	wmean
357.5	6093.3	7226.9	6573.3	6606.6
358.5	6100.6	7287.7	6598.3	6633.4
359.5	6107.9	7343.3	6622.1	6660.2
360.5	6122.3	7373.9	6647.1	6687.6
361.5	6147.8	7388.8	6676.4	6714.8
362.5	6168.6	7404	6705.2	6742.1
363.5	6190.9	7419.1	6736.3	6770.1
364.5	6205.7	7430.6	6767.8	6797
365.5	6219.8	7450.8	6799.3	6824
366.5	6237.1	7471.6	6832.8	6851
367.5	6256.5	7494.4	6867.8	6879
368.5	6271.6	7512.9	6900.5	6905.8
369.5	6287.8	7533.2	6933.5	6933.5
370.5	6301	7553.6	6968.4	6961.3
371.5	6315.5	7575.3	7002.7	6988.9
372.5	6325.4	7595	7031.9	7015.8
373.5	6340	7616.2	7061.8	7042.9
374.5	6350.5	7642.8	7090.6	7070
375.5	6362	7673.4	7122.8	7098.1
376.5	6372	7706.6	7153.2	7125.2
377.5	6380.4	7742	7181.7	7152.1
378.5	6388.9	7780.2	7209.7	7179.2
379.5	6402.6	7822.5	7237.1	7206.1
380.5	6441.6	7845.2	7267	7234.6
381.5	6514.1	7853.4	7294.9	7265.2
382.5	6581.6	7856.7	7324.9	7295.8
383.5	6654.7	7858.6	7355.1	7326.5
384.5	6720.2	7869.8	7382.6	7356.4
385.5	6793.1	7871.1	7411.5	7387
386.5	6861.8	7883.2	7439.5	7417.6
387.5	6926.7	7883.3	7468.8	7447.8
388.5	6996.9	7892.5	7496.5	7478.5
389.5	7067	7900.7	7526.1	7508.8
390.5	7140.3	7902.3	7552.9	7539.3
391.5	7210.8	7911.7	7580.7	7569.8
392.5	7272.9	7921.4	7607.6	7600.2
393.5	7333.5	7925.6	7635.2	7631.1
394.5	7394.3	7937.7	7663.5	7661.7
395.5	7448	7945.3	7689.5	7692.1
396.5	7494.2	7957.2	7721.3	7723.3
397.5	7540.6	7971.1	7749.7	7754.2
398.5	7581.5	7984.7	7778.7	7785.3
399.5	7618.2	8003.6	7808.5	7816.3
400.5	7640.7	8031.5	7836.1	7843.5
401.5	7657.3	8064.5	7859.7	7866.9
402.5	7677.8	8098.7	7884.8	7890.9
403.5	7694.2	8133.2	7910.5	7914.5
404.5	7707.8	8172.2	7933.1	7938.2
405.5	7716.2	8217.8	7955.3	7961.3
406.5	7730.1	8264.7	7977	7984.5
407.5	7738.7	8317.2	7998.4	8008.2
408.5	7747.1	8366.5	8019.1	8031.4
409.5	7754.5	8420.7	8041.8	8054.3
410.5	7763.3	8477	8062.2	8077.6
411.5	7770.4	8537.1	8083.1	8100.9
412.5	7777	8596.5	8105.5	8124.2
413.5	7783.3	8660.6	8126.8	8147.8
414.5	7785.1	8726.4	8148.4	8171
415.5	7792	8785.9	8169.2	8194.2
416.5	7795.7	8846.5	8189.5	8217
417.5	7800.2	8903.7	8211.5	8241
418.5	7801.5	8967.4	8231.3	8263.8
419.5	7804	9029.2	8251.7	8287.2
420.5	7820.1	9065.5	8274.7	8310.4
421.5	7847.7	9071.7	8297.5	8333
422.5	7867.3	9076.3	8320.4	8354.8
423.5	7890	9087.1	8347.4	8378.3
424.5	7909.2	9094.9	8372.2	8401.5
425.5	7921.7	9104.2	8396	8423.5
426.5	7938.7	9113.5	8422.1	8446.8
427.5	7948.4	9123.4	8450.5	8469.5
428.5	7961.3	9134	8477.9	8492.8
429.5	7970.9	9147.3	8503.4	8515.3
430.5	7984.3	9166.9	8529.3	8538.1
431.5	7996.3	9183.5	8557	8561
432.5	8012.7	9208	8584.6	8584.1
433.5	8019.7	9222.8	8611.3	8606.7
434.5	8028.6	9245.3	8633.5	8630
435.5	8043.1	9270.7	8654.5	8652.7
436.5	8050.5	9301.1	8675.9	8676.1
437.5	8064.2	9330	8697.4	8698.6
438.5	8071.6	9376.3	8722.4	8721
439.5	8079.8	9421.9	8742.2	8743.6
440.5	8104.5	9446.1	8766.7	8766
441.5	8135	9451.2	8789.6	8789.2
442.5	8166.1	9462.1	8810.6	8811.8
443.5	8192.8	9469.7	8834.5	8834.6
444.5	8218.6	9475.6	8854.9	8857.4
445.5	8242.4	9484.4	8879.5	8880
446.5	8261.9	9491.2	8903	8902.4
447.5	8283.4	9497.6	8928.7	8925.7
448.5	8312	9503.2	8955	8948.3
449.5	8328.2	9510.6	8979.4	8970.8
450.5	8356.3	9519.8	9005.1	8993.4
451.5	8371.7	9533.3	9030	9015.7
452.5	8390.8	9547	9060.2	9038.8
453.5	8408.3	9561.3	9086.5	9061.4
454.5	8420	9576.8	9112	9084.5
455.5	8432.2	9592.3	9139.4	9106.9
456.5	8450.1	9611.2	9163.2	9129.4
457.5	8461.4	9628.4	9186.7	9152.6
458.5	8479.5	9644.6	9211.7	9175.3
459.5	8488	9674.4	9235.3	9197.9
460.5	8524.7	9691.5	9255.6	9222.1
461.5	8593.4	9704.4	9279.9	9248.2
462.5	8657	9711.9	9304.1	9274.4
463.5	8721.1	9715.3	9324.3	9299.8
464.5	8786.2	9723.3	9349.2	9326.5
465.5	8845.4	9734.5	9371.3	9352.2
466.5	8906.6	9746.9	9394.5	9378
